Name,Number of epochs,Best checkpoint,Run ID,State,Notes,User,Tags,Created,Runtime,Sweep,ID,Group,Job Type,Updated,End Time,Hostname,Description,Commit,GitHub,GPU Count,GPU Type,misc.Normalization,misc.Rescaling,misc.misc,misc.mixup_alpha,train_cfg.base_lr,train_cfg.label_smoothing,train_cfg.log_dir,train_cfg.lr_schedule,train_cfg.model_dir,train_cfg.momentum,train_cfg.optimizer,train_cfg.total_epochs,train_cfg.warmup_epochs,train_cfg.warmup_factor,train_cfg.weight_decay,train_prep.area_factor,train_prep.augment_fn,train_prep.batch_size,train_prep.color_jitter,train_prep.crop_size,train_prep.image_size,train_prep.mixup,train_prep.mixup_alpha,train_prep.num_classes,train_prep.resize_pre_crop,val_prep.area_factor,val_prep.augment_fn,val_prep.batch_size,val_prep.color_jitter,val_prep.crop_size,val_prep.image_size,val_prep.mixup,val_prep.mixup_alpha,val_prep.num_classes,val_prep.resize_pre_crop,accuracy,best_epoch,best_val_loss,epoch,loss,lr,top-5-accuracy,val_accuracy,val_loss,val_top-5-accuracy
regnetx320_11_09_2021_02h32m24s,66 - 85,-,11_09_2021_02h32m24s,failed,-,compyle,final,2021-11-09T02:32:25.000Z,29843,,1fzftzjt,,train,2022-01-04T15:18:04.000Z,2021-11-09T10:49:48.000Z,ak-us-tpu-8,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7573031187,85,0.8831156492,85,1.610966325,0.0004359741288,0.9164469242,0.78942132,0.8831156492,0.9452328682
regnetx320_11_09_2021_11h00m35s,85 - 89,-,11_09_2021_11h00m35s,failed,-,compyle,final,2021-11-09T11:00:36.000Z,8764,,2ud37p40,,train,2022-01-04T14:56:27.000Z,2021-11-09T13:26:40.000Z,ak-us-tpu-8,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7705756426,88,0.8888435364,89,1.525143266,0.0002364769025,0.923012197,0.7940250635,0.9405901432,0.9469866753
regnetx320_11_09_2021_13h39m30s,90 - 100,gs://ak-us-train/models/11_09_2021_13h39m30s/all_model_epoch_97,11_09_2021_13h39m30s,finished,-,compyle,final,2021-11-09T13:39:31.000Z,15758,,30xf0pkx,,train,2021-11-09T18:51:11.000Z,2021-11-09T18:02:09.000Z,ak-us-tpu-8,,,,,,None,1/255,,0.3,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,,default,1024,FALSE,224,512,TRUE,0.4,1000,256,,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7823365331,94,0.7972882986,99,1.557043314,0.000001973867484,0.926019907,0.8017379642,0.8753319383,0.9522481561
regnety002_11_16_2021_03h54m11s,100,gs://ak-us-train/models/11_16_2021_03h54m11s/all_model_epoch_94,11_16_2021_03h54m11s,finished,-,compyle,final,2021-11-16T03:54:12.000Z,97309,,21pobabr,,train,2021-12-02T03:38:34.000Z,2021-11-17T06:56:01.000Z,ak-us-tpu-5,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00001,0.16,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.6561345458,93,1.296860099,99,2.116619349,0.000001973867484,0.8435409665,0.6790896654,1.394509673,0.8803014159
regnety004_12_09_2021_05h22m18s,0 - 77,-,12_09_2021_05h22m18s,finished,-,compyle,final,2021-12-09T05:22:19.000Z,95129,,3vt81zxg,,train,2022-01-04T14:46:06.000Z,2021-12-10T07:47:48.000Z,ak-us-tpu-7,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00001,0.16,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7065445185,99,1.147522449,99,1.83479023,0.000001973867484,0.8755421042,0.7206035256,1.147522449,0.9035794735
regnety004_12_10_2021_09h36m01s,77 - 100,gs://ak-us-train/models/12_10_2021_09h36m01s/all_model_epoch_96,12_10_2021_09h36m01s,finished,-,compyle,final,2021-12-10T09:36:02.000Z,22735,,11ewme03,,train,2021-12-10T19:22:06.000Z,2021-12-10T15:54:57.000Z,ak-us-tpu-7,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00001,0.16,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7173982263,95,1.12716186,99,1.764877558,0.000001973867484,0.8846665621,0.717912972,1.214968204,0.9038385749
regnety006_12_04_2021_18h36m42s,0 - 76,-,12_04_2021_18h36m42s,finished,-,compyle,final,2021-12-04T18:36:44.000Z,67784,,27n8cg8w,,train,2022-01-04T14:49:00.000Z,2021-12-05T13:26:28.000Z,ak-us-tpu-5,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,0.08,default,1024,FALSE,224,512,FALSE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7574380636,94,1.066245437,96,1.056215644,0.00003154110891,0.9154594541,0.728675127,1.09248054,0.9103556275
regnety006_12_05_2021_13h26m36s,76 - 100,gs://ak-us-train/models/12_05_2021_13h26m36s/all_model_epoch_94,12_05_2021_13h26m36s,finished,-,compyle,final,2021-12-05T13:26:37.000Z,20748,,26stoyrx,,train,2021-12-10T19:22:30.000Z,2021-12-05T19:12:25.000Z,ak-us-tpu-5,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,0.16,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7142291069,86,1.162996292,96,1.795699477,0.00003154110891,0.8866750598,0.7301499248,1.256522417,0.9140426517
regnety008_12_01_2021_07h24m52s,100,gs://ak-us-train/models/12_01_2021_07h24m52s/all_model_epoch_94,12_01_2021_07h24m52s,finished,-,compyle,final,2021-12-01T07:24:54.000Z,94229,,3t47c753,,train,2021-12-10T19:22:41.000Z,2021-12-02T09:35:23.000Z,ak-us-tpu-6,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,0.16,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7155153155,94,1.112949252,96,1.842465162,0.00003154110891,0.8854457736,0.739397347,1.181380153,0.9178691506
regnety016_11_28_2021_10h11m52s,71 - 100,gs://ak-us-train/models/11_28_2021_10h11m52s/all_model_epoch_94,11_28_2021_10h11m52s,finished,-,compyle,final,2021-11-28T10:11:53.000Z,25304,,2drjb3s9,,train,2021-12-02T03:38:53.000Z,2021-11-28T17:13:37.000Z,ak-us-tpu-5,,,,,,None,1/255,,,0.008,0,gs://ak-us-train/logs,half_cos,gs://ak-us-train/models,0.9,adamw,100,5,0.1,0.00005,0.08,default,1024,FALSE,224,512,TRUE,0.2,1000,256,0.25,val,1024,FALSE,224,512,FALSE,0,1000,256,0.7284297943,93,0.9579479098,96,1.718511701,0.00003154110891,0.890194416,0.7642299533,1.023064494,0.9302455783
